333,1985-06-09,Aufhebung der Unterstützung für die Selbstversorgung mit Brotgetreide,NaN,NaN,Nan
334,1985-09-22,Bundesbeschluss zur Koordination des Schuljahresbeginns,NaN,NaN,Nan
335.0,1985-09-22,Innovationsrisikogarantie,43.1,-1,1
336,1985-09-22,Neues Ehe- und Erbrecht,NaN,NaN,Nan
337,1985-12-01,Initiative «für die Abschaffung der Vivisektion»,NaN,NaN,Nan
338,1986-03-16,UNO-Beitritt,NaN,NaN,Nan
339.1,1986-09-28,Eidgenössische 'Kulturinitiative',18.1,-1,1
339.2,1986-09-28,Gegenentwurf zur Kulturinitiative,NaN,NaN,Nan
340.0,1986-09-28,Lehrwerkstätten-Initiative,18.4,-1,2
341,1986-09-28,Bundesbeschluss über die Zuckerwirtschaft,NaN,NaN,Nan
342.0,1986-12-07,Mieterschutz (Gegenvorschlag),64.4,-1,3
343.0,1986-12-07,Schwerverkehrsabgabe (Initiative),33.9,-1,2
344.0,1987-04-05,Asylgesetz (Verfahrensstraffung),67.3,1,-3
345,1987-04-05,Ausländergesetz,NaN,NaN,Nan
346.0,1987-04-05,Rüstungsreferendum,40.6,-1,1
347,1987-04-05,Abstimmungsverfahren bei Volksinitiativen mit Gegenentwurf,NaN,NaN,Nan
348.0,1987-12-06,BAHN 2000,57,-1,1
349.0,1987-12-06,Kranken- und Mutterschaftsversicherung,28.7,-1,1
350.0,1987-12-06,Rothenthurm-Initiative,57.8,-1,1
351,1988-06-12,Verfassungsgrundlagen für eine koordinierte Verkehrspolitik,NaN,NaN,Nan
352.0,1988-06-12,Herabsetzung des AHV-Rentenalters,35.1,-2,1
353.0,1988-12-04,Stadt-Land-Initiative gegen die Bodenspekulation,30.8,-1,2
354.0,1988-12-04,40-Stunden-Woche,34.3,-2,1
355,1988-12-04,Initiative «für die Begrenzung der Einwanderung»,NaN,NaN,Nan
356,1989-06-04,Kleinbauern-Initiative,NaN,NaN,Nan
357.0,1989-11-26,Schweiz ohne Armee und umfassende Friedenspolitik,35.6,-2,1
358,1989-11-26,Initiative «pro Tempo 130/100»,NaN,NaN,Nan
359,1990-04-01,Initiative «für eine Begrenzung des Strassenbaus»,NaN,NaN,Nan
360,1990-04-01,Initiative «für eine autobahnfreie Landschaft zwischen Murten und Yverdon»,NaN,NaN,Nan
361,1990-04-01,Initiative «für ein autobahnfreies Knonauer Amt»,NaN,NaN,Nan
362,1990-04-01,Initiative für eine freie Aarelandschaft zwischen Biel und Solothurn,NaN,NaN,Nan
363,1990-04-01,Rebbaubeschluss,NaN,NaN,Nan
